Enlem;Boylam;Z_Anomali(m)
41.05650556;29.65982713;"=""11.45"""
41.05650556;29.66018451;"=""12.61"""
41.05650556;29.66054190;"=""13.86"""
41.05650556;29.66089928;"=""15.14"""
41.05650556;29.66125667;"=""16.38"""
41.05650556;29.66161405;"=""17.38"""
41.05650556;29.66197144;"=""17.91"""
41.05650556;29.66232882;"=""17.77"""
41.05650556;29.66268621;"=""16.92"""
41.05650556;29.66304360;"=""15.51"""
41.05650556;29.66340098;"=""13.82"""
41.05650556;29.66375837;"=""12.22"""
41.05650556;29.66411575;"=""11.01"""
41.05650556;29.66447314;"=""10.38"""
41.05650556;29.66483052;"=""10.34"""
41.05650556;29.66518791;"=""10.79"""
41.05650556;29.66554530;"=""11.46"""
41.05650556;29.66590268;"=""12.07"""
41.05650556;29.66626007;"=""12.31"""
41.05650556;29.66661745;"=""11.93"""
41.05650556;29.66697484;"=""10.81"""
41.05650556;29.66733222;"=""8.92"""
41.05650556;29.66768961;"=""6.38"""
41.05650556;29.66804699;"=""3.41"""
41.05650556;29.66840438;"=""0.28"""
41.05650556;29.66876177;"=""-2.76"""
41.05650556;29.66911915;"=""-5.54"""
41.05650556;29.66947654;"=""-7.98"""
41.05650556;29.66983392;"=""-10.07"""
41.05650556;29.67019131;"=""-11.82"""
41.05650556;29.67054869;"=""-13.25"""
41.05650556;29.67090608;"=""-14.39"""
41.05650556;29.67126346;"=""-15.26"""
41.05650556;29.67162085;"=""-15.90"""
41.05650556;29.67197824;"=""-16.37"""
41.05650556;29.67233562;"=""-16.72"""
41.05650556;29.67269301;"=""-16.91"""
41.05650556;29.67305039;"=""-16.89"""
41.05650556;29.67340778;"=""-16.57"""
41.05650556;29.67376516;"=""-15.94"""
41.05650556;29.67412255;"=""-15.05"""
41.05650556;29.67447993;"=""-14.01"""
41.05650556;29.67483732;"=""-12.97"""
41.05650556;29.67519471;"=""-12.15"""
41.05650556;29.67555209;"=""-11.79"""
41.05650556;29.67590948;"=""-12.05"""
41.05650556;29.67626686;"=""-12.94"""
41.05650556;29.67662425;"=""-14.29"""
41.05650556;29.67698163;"=""-15.86"""
41.05650556;29.67733902;"=""-17.40"""
41.05650556;29.67769641;"=""-18.76"""
41.05650556;29.67805379;"=""-19.89"""
41.05650556;29.67841118;"=""-20.86"""
41.05650556;29.67876856;"=""-21.72"""
41.05650556;29.67912595;"=""-22.41"""
41.05650556;29.67948333;"=""-22.81"""
41.05623607;29.65410896;"=""21.04"""
41.05623607;29.65446634;"=""20.16"""
41.05623607;29.65482373;"=""18.78"""
41.05623607;29.65518111;"=""17.36"""
41.05623607;29.65553850;"=""16.16"""
41.05623607;29.65589588;"=""15.15"""
41.05623607;29.65625327;"=""14.20"""
41.05623607;29.65661066;"=""13.17"""
41.05623607;29.65696804;"=""12.04"""
41.05623607;29.65732543;"=""10.86"""
41.05623607;29.65768281;"=""9.73"""
41.05623607;29.65804020;"=""8.75"""
41.05623607;29.65839758;"=""7.99"""
41.05623607;29.65875497;"=""7.55"""
41.05623607;29.65911235;"=""7.50"""
41.05623607;29.65946974;"=""7.90"""
41.05623607;29.65982713;"=""8.71"""
41.05623607;29.66018451;"=""9.85"""
41.05623607;29.66054190;"=""11.25"""
41.05623607;29.66089928;"=""12.78"""
41.05623607;29.66125667;"=""14.27"""
41.05623607;29.66161405;"=""15.46"""
41.05623607;29.66197144;"=""16.07"""
41.05623607;29.66232882;"=""15.91"""
41.05623607;29.66268621;"=""14.93"""
41.05623607;29.66304360;"=""13.35"""
41.05623607;29.66340098;"=""11.58"""
41.05623607;29.66375837;"=""10.08"""
41.05623607;29.66411575;"=""9.24"""
41.05623607;29.66447314;"=""9.26"""
41.05623607;29.66483052;"=""10.06"""
41.05623607;29.66518791;"=""11.39"""
41.05623607;29.66554530;"=""12.89"""
41.05623607;29.66590268;"=""14.19"""
41.05623607;29.66626007;"=""15.02"""
41.05623607;29.66661745;"=""15.15"""
41.05623607;29.66697484;"=""14.49"""
41.05623607;29.66733222;"=""13.03"""
41.05623607;29.66768961;"=""10.84"""
41.05623607;29.66804699;"=""8.10"""
41.05623607;29.66840438;"=""5.05"""
41.05623607;29.66876177;"=""1.90"""
41.05623607;29.66911915;"=""-1.16"""
41.05623607;29.66947654;"=""-4.03"""
41.05623607;29.66983392;"=""-6.66"""
41.05623607;29.67019131;"=""-9.05"""
41.05623607;29.67054869;"=""-11.21"""
41.05623607;29.67090608;"=""-13.15"""
41.05623607;29.67126346;"=""-14.82"""
41.05623607;29.67162085;"=""-16.21"""
41.05623607;29.67197824;"=""-17.31"""
41.05623607;29.67233562;"=""-18.14"""
41.05623607;29.67269301;"=""-18.69"""
41.05623607;29.67305039;"=""-18.93"""
41.05623607;29.67340778;"=""-18.84"""
41.05623607;29.67376516;"=""-18.41"""
41.05623607;29.67412255;"=""-17.72"""
41.05623607;29.67447993;"=""-16.84"""
41.05623607;29.67483732;"=""-15.88"""
41.05623607;29.67519471;"=""-15.05"""
41.05623607;29.67555209;"=""-14.57"""
41.05623607;29.67590948;"=""-14.63"""
41.05623607;29.67626686;"=""-15.26"""
41.05623607;29.67662425;"=""-16.35"""
41.05623607;29.67698163;"=""-17.67"""
41.05623607;29.67733902;"=""-18.99"""
41.05623607;29.67769641;"=""-20.18"""
41.05623607;29.67805379;"=""-21.18"""
41.05623607;29.67841118;"=""-22.06"""
41.05623607;29.67876856;"=""-22.83"""
41.05623607;29.67912595;"=""-23.45"""
41.05623607;29.67948333;"=""-23.80"""
41.05596657;29.65410896;"=""20.19"""
41.05596657;29.65446634;"=""19.40"""
41.05596657;29.65482373;"=""18.20"""
41.05596657;29.65518111;"=""17.05"""
41.05596657;29.65553850;"=""16.20"""
41.05596657;29.65589588;"=""15.64"""
41.05596657;29.65625327;"=""15.15"""
41.05596657;29.65661066;"=""14.54"""
41.05596657;29.65696804;"=""13.69"""
41.05596657;29.65732543;"=""12.58"""
41.05596657;29.65768281;"=""11.24"""
41.05596657;29.65804020;"=""9.77"""
41.05596657;29.65839758;"=""8.28"""
41.05596657;29.65875497;"=""6.98"""
41.05596657;29.65911235;"=""6.09"""
41.05596657;29.65946974;"=""5.79"""
41.05596657;29.65982713;"=""6.14"""
41.05596657;29.66018451;"=""7.07"""
41.05596657;29.66054190;"=""8.45"""
41.05596657;29.66089928;"=""10.07"""
41.05596657;29.66125667;"=""11.65"""
41.05596657;29.66161405;"=""12.89"""
41.05596657;29.66197144;"=""13.48"""
41.05596657;29.66232882;"=""13.21"""
41.05596657;29.66268621;"=""12.10"""
41.05596657;29.66304360;"=""10.39"""
41.05596657;29.66340098;"=""8.55"""
41.05596657;29.66375837;"=""7.17"""
41.05596657;29.66411575;"=""6.69"""
41.05596657;29.66447314;"=""7.30"""
41.05596657;29.66483052;"=""8.87"""
41.05596657;29.66518791;"=""11.01"""
41.05596657;29.66554530;"=""13.25"""
41.05596657;29.66590268;"=""15.19"""
41.05596657;29.66626007;"=""16.56"""
41.05596657;29.66661745;"=""17.19"""
41.05596657;29.66697484;"=""17.03"""
41.05596657;29.66733222;"=""16.07"""
41.05596657;29.66768961;"=""14.38"""
41.05596657;29.66804699;"=""12.10"""
41.05596657;29.66840438;"=""9.38"""
41.05596657;29.66876177;"=""6.39"""
41.05596657;29.66911915;"=""3.28"""
41.05596657;29.66947654;"=""0.18"""
41.05596657;29.66983392;"=""-2.83"""
41.05596657;29.67019131;"=""-5.74"""
41.05596657;29.67054869;"=""-8.53"""
41.05596657;29.67090608;"=""-11.18"""
41.05596657;29.67126346;"=""-13.61"""
41.05596657;29.67162085;"=""-15.73"""
41.05596657;29.67197824;"=""-17.50"""
41.05596657;29.67233562;"=""-18.90"""
41.05596657;29.67269301;"=""-19.93"""
41.05596657;29.67305039;"=""-20.57"""
41.05596657;29.67340778;"=""-20.85"""
41.05596657;29.67376516;"=""-20.78"""
41.05596657;29.67412255;"=""-20.43"""
41.05596657;29.67447993;"=""-19.83"""
41.05596657;29.67483732;"=""-19.07"""
41.05596657;29.67519471;"=""-18.29"""
41.05596657;29.67555209;"=""-17.72"""
41.05596657;29.67590948;"=""-17.55"""
41.05596657;29.67626686;"=""-17.88"""
41.05596657;29.67662425;"=""-18.65"""
41.05596657;29.67698163;"=""-19.70"""
41.05596657;29.67733902;"=""-20.82"""
41.05596657;29.67769641;"=""-21.86"""
41.05596657;29.67805379;"=""-22.78"""
41.05596657;29.67841118;"=""-23.61"""
41.05596657;29.67876856;"=""-24.35"""
41.05596657;29.67912595;"=""-24.94"""
41.05596657;29.67948333;"=""-25.28"""
41.05569708;29.65410896;"=""20.21"""
41.05569708;29.65446634;"=""19.62"""
41.05569708;29.65482373;"=""18.77"""
41.05569708;29.65518111;"=""18.05"""
41.05569708;29.65553850;"=""17.66"""
41.05569708;29.65589588;"=""17.50"""
41.05569708;29.65625327;"=""17.35"""
41.05569708;29.65661066;"=""16.96"""
41.05569708;29.65696804;"=""16.20"""
41.05569708;29.65732543;"=""15.00"""
41.05569708;29.65768281;"=""13.38"""
41.05569708;29.65804020;"=""11.41"""
41.05569708;29.65839758;"=""9.21"""
41.05569708;29.65875497;"=""7.07"""
41.05569708;29.65911235;"=""5.30"""
41.05569708;29.65946974;"=""4.21"""
41.05569708;29.65982713;"=""3.93"""
41.05569708;29.66018451;"=""4.44"""
41.05569708;29.66054190;"=""5.58"""
41.05569708;29.66089928;"=""7.07"""
41.05569708;29.66125667;"=""8.55"""
41.05569708;29.66161405;"=""9.69"""
41.05569708;29.66197144;"=""10.17"""
41.05569708;29.66232882;"=""9.82"""
41.05569708;29.66268621;"=""8.64"""
41.05569708;29.66304360;"=""6.90"""
41.05569708;29.66340098;"=""5.11"""
41.05569708;29.66375837;"=""3.90"""
41.05569708;29.66411575;"=""3.74"""
41.05569708;29.66447314;"=""4.83"""
41.05569708;29.66483052;"=""6.96"""
41.05569708;29.66518791;"=""9.68"""
41.05569708;29.66554530;"=""12.45"""
41.05569708;29.66590268;"=""14.83"""
41.05569708;29.66626007;"=""16.59"""
41.05569708;29.66661745;"=""17.61"""
41.05569708;29.66697484;"=""17.87"""
41.05569708;29.66733222;"=""17.40"""
41.05569708;29.66768961;"=""16.27"""
41.05569708;29.66804699;"=""14.56"""
41.05569708;29.66840438;"=""12.33"""
41.05569708;29.66876177;"=""9.68"""
41.05569708;29.66911915;"=""6.72"""
41.05569708;29.66947654;"=""3.56"""
41.05569708;29.66983392;"=""0.32"""
41.05569708;29.67019131;"=""-2.93"""
41.05569708;29.67054869;"=""-6.15"""
41.05569708;29.67090608;"=""-9.29"""
41.05569708;29.67126346;"=""-12.25"""
41.05569708;29.67162085;"=""-14.95"""
41.05569708;29.67197824;"=""-17.29"""
41.05569708;29.67233562;"=""-19.23"""
41.05569708;29.67269301;"=""-20.75"""
41.05569708;29.67305039;"=""-21.86"""
41.05569708;29.67340778;"=""-22.59"""
41.05569708;29.67376516;"=""-22.96"""
41.05569708;29.67412255;"=""-23.02"""
41.05569708;29.67447993;"=""-22.78"""
41.05569708;29.67483732;"=""-22.29"""
41.05569708;29.67519471;"=""-21.64"""
41.05569708;29.67555209;"=""-21.04"""
41.05569708;29.67590948;"=""-20.69"""
41.05569708;29.67626686;"=""-20.73"""
41.05569708;29.67662425;"=""-21.20"""
41.05569708;29.67698163;"=""-21.97"""
41.05569708;29.67733902;"=""-22.88"""
41.05569708;29.67769641;"=""-23.78"""
41.05569708;29.67805379;"=""-24.64"""
41.05569708;29.67841118;"=""-25.46"""
41.05569708;29.67876856;"=""-26.22"""
41.05569708;29.67912595;"=""-26.84"""
41.05569708;29.67948333;"=""-27.19"""
41.05542759;29.65410896;"=""21.37"""
41.05542759;29.65446634;"=""21.02"""
41.05542759;29.65482373;"=""20.59"""
41.05542759;29.65518111;"=""20.33"""
41.05542759;29.65553850;"=""20.31"""
41.05542759;29.65589588;"=""20.36"""
41.05542759;29.65625327;"=""20.25"""
41.05542759;29.65661066;"=""19.77"""
41.05542759;29.65696804;"=""18.81"""
41.05542759;29.65732543;"=""17.36"""
41.05542759;29.65768281;"=""15.42"""
41.05542759;29.65804020;"=""13.02"""
41.05542759;29.65839758;"=""10.30"""
41.05542759;29.65875497;"=""7.52"""
41.05542759;29.65911235;"=""5.05"""
41.05542759;29.65946974;"=""3.21"""
41.05542759;29.65982713;"=""2.24"""
41.05542759;29.66018451;"=""2.16"""
41.05542759;29.66054190;"=""2.84"""
41.05542759;29.66089928;"=""3.97"""
41.05542759;29.66125667;"=""5.17"""
41.05542759;29.66161405;"=""6.09"""
41.05542759;29.66197144;"=""6.44"""
41.05542759;29.66232882;"=""6.03"""
41.05542759;29.66268621;"=""4.89"""
41.05542759;29.66304360;"=""3.27"""
41.05542759;29.66340098;"=""1.66"""
41.05542759;29.66375837;"=""0.67"""
41.05542759;29.66411575;"=""0.77"""
41.05542759;29.66447314;"=""2.13"""
41.05542759;29.66483052;"=""4.52"""
41.05542759;29.66518791;"=""7.47"""
41.05542759;29.66554530;"=""10.44"""
41.05542759;29.66590268;"=""13.00"""
41.05542759;29.66626007;"=""14.92"""
41.05542759;29.66661745;"=""16.14"""
41.05542759;29.66697484;"=""16.69"""
41.05542759;29.66733222;"=""16.62"""
41.05542759;29.66768961;"=""15.98"""
41.05542759;29.66804699;"=""14.81"""
41.05542759;29.66840438;"=""13.10"""
41.05542759;29.66876177;"=""10.86"""
41.05542759;29.66911915;"=""8.15"""
41.05542759;29.66947654;"=""5.09"""
41.05542759;29.66983392;"=""1.81"""
41.05542759;29.67019131;"=""-1.58"""
41.05542759;29.67054869;"=""-4.97"""
41.05542759;29.67090608;"=""-8.31"""
41.05542759;29.67126346;"=""-11.51"""
41.05542759;29.67162085;"=""-14.48"""
41.05542759;29.67197824;"=""-17.16"""
41.05542759;29.67233562;"=""-19.47"""
41.05542759;29.67269301;"=""-21.39"""
41.05542759;29.67305039;"=""-22.90"""
41.05542759;29.67340778;"=""-24.03"""
41.05542759;29.67376516;"=""-24.81"""
41.05542759;29.67412255;"=""-25.26"""
41.05542759;29.67447993;"=""-25.40"""
41.05542759;29.67483732;"=""-25.21"""
41.05542759;29.67519471;"=""-24.77"""
41.05542759;29.67555209;"=""-24.22"""
41.05542759;29.67590948;"=""-23.79"""
41.05542759;29.67626686;"=""-23.64"""
41.05542759;29.67662425;"=""-23.86"""
41.05542759;29.67698163;"=""-24.39"""
41.05542759;29.67733902;"=""-25.09"""
41.05542759;29.67769641;"=""-25.86"""
41.05542759;29.67805379;"=""-26.65"""
41.05542759;29.67841118;"=""-27.47"""
41.05542759;29.67876856;"=""-28.26"""
41.05542759;29.67912595;"=""-28.92"""
41.05542759;29.67948333;"=""-29.29"""
41.05515809;29.65410896;"=""23.69"""
